dep,revratio2022,revratioadu2022,revratiofoy2022,revtot2022,pop2022_x,nadult2022,nfoyer2022,revmoyfoy2022,revmoyadu2022,revmoy2022,pibhab2022,pib2022,pop2022_y,nodiph2022,nodipf2022,nodip2022,bach2022,bacf2022,bac2022,suph2022,supf2022,sup2022,pbac2022,psup2022,popf2022,poph2022,popf0142022,popf15392022,popf40592022,popf60p2022,poph0142022,poph15392022,poph40592022,poph60p2022,agef2022,ageh2022,age2022,pop2022,propf2022,propf0142022,propf15392022,propf40592022,propf60p2022,prop0142022,prop15392022,prop40592022,prop60p2022
01,1.042793,1.0602247,1.1178894,0.010668574,678737,506445,360186,36927.734,26263.174,19655.174,0.72144055,0.0074006519,678737,122681,124110,246681,38249,43392,81029,70462,81053,151268,0.4849847,0.31581408,347620,337602,65071,95507,96358,90684,68730,96428,95267,77177,41.65409314554091,39.42788738033536,40.5572636487002,685222,0.50731003,0.48632669,0.49760076,0.50284672,0.54023272,0.19526665,0.28010631,0.27965391,0.24497317
02,0.80404884,0.80497843,0.80545694,0.0063380301,522956,407852,305661,26607.014,19940.385,15155.184,0.62331438,0.004926519,522956,116705,121244,237518,28210,32465,59262,37707,45637,82458,0.37369671,0.21743074,274339,263826,48561,71055,69177,85546,51380,73402,68689,70355,43.3681415031152,40.57238105058546,41.99756922977796,538165,0.50976747,0.48589668,0.49187648,0.50176984,0.54872,0.18570699,0.26842511,0.25617793,0.28968996
03,0.86972922,0.82290822,0.8073585,0.0043116035,328888,271701,207669,26669.83,20384.529,16393.166,0.68707359,0.0034152237,328888,71728,77916,149534,19558,24103,43197,26234,34536,60446,0.40936974,0.23874997,176558,161296,24546,38025,45296,68691,26205,38721,41307,55063,48.08110611148071,44.64773360567307,46.44196833892509,337854,0.5225867,0.48365548,0.49546555,0.5230304,0.55506086,0.15021577,0.22715729,0.25633261,0.36629432
04,0.93258262,0.89020705,0.86064249,0.0023479201,167028,133138,103268,28429.982,22051.611,17577.863,0.71083319,0.0017944232,167028,32867,31393,64072,10538,13201,23354,16902,21043,37761,0.48818967,0.30163676,85519,81557,12437,19246,22863,30973,13275,19834,21563,26885,47.30099655916992,44.74874536671043,46.05513244737039,167076,0.51185685,0.48370412,0.49247697,0.51463109,0.53532785,0.15389404,0.23390552,0.26590294,0.3462975
05,0.90466762,0.87458205,0.86451632,0.0019439466,142557,116305,88231,28557.949,21664.559,17051.705,0.73682779,0.0015875319,142557,27870,26495,54148,9273,10202,19218,15236,21154,36282,0.50616521,0.33089522,74880,73018,11062,17362,19829,26627,13087,18476,19347,22108,47.01238386692145,43.25594485915903,45.15781064671815,147898,0.50629491,0.45807281,0.48445785,0.50615174,0.546363,0.16328146,0.24231565,0.26488525,0.32951763
06,1.2256125,1.1791604,1.0378281,0.020418415,1105254,859598,732383,34283.035,29209.367,23101.063,1.0109582,0.016887415,1105254,183100,197508,380558,55301,77254,132386,132296,161417,293561,0.52813929,0.36399156,574902,512252,83439,146109,146902,198452,85922,140509,136264,149557,46.4439620648669,43.10041876640447,44.8685303745495,1087154,0.52881378,0.49266949,0.50976908,0.51878405,0.57024962,0.15578382,0.26364067,0.26046541,0.32011011
07,0.88609236,0.85821754,0.85860115,0.0044633369,334175,264090,197949,28362.551,21259.188,16701.588,0.63407469,0.0032024493,334175,70151,68875,138828,20367,22990,42966,29883,38622,68259,0.44480571,0.27297813,172758,164154,28376,38902,45484,59996,28459,38987,46039,50669,46.04447919947398,43.86321817357148,44.981701023848,336912,0.51276892,0.49926981,0.49945435,0.49696797,0.54214072,0.1686939,0.231185,0.27165255,0.32846856
08,0.80514395,0.78712678,0.79560924,0.0031729795,261449,211535,156936,26281.711,19498.176,15175.825,0.65183896,0.0025756992,261449,60003,62878,122529,15776,17084,32116,19755,25237,44571,0.38494399,0.22373202,140245,132236,23082,34325,36314,46524,23500,34011,36062,38663,44.76711280814866,42.30600193558747,43.57272702830083,272481,0.51469642,0.49551329,0.50229746,0.50174093,0.54613966,0.17095503,0.25079179,0.26561853,0.31263465
09,0.81589466,0.77616346,0.7603038,0.0018939197,154000,125461,96044,25115.451,19226.6,15378.461,0.65008008,0.0015130576,154000,31847,31282,62757,10440,12244,22049,14853,18288,32656,0.46572509,0.27801332,80118,77114,12340,16725,22162,28891,11967,19056,21133,24958,47.35181702912581,44.78617316229535,46.09350410089544,157232,0.50955278,0.50767267,0.46742684,0.51188362,0.53651881,0.15459321,0.22756818,0.27535743,0.34248117
10,0.84688419,0.84756696,0.87293136,0.0039877496,312390,243337,177173,28835.928,20995.359,15962.569,0.69753236,0.0032932851,312390,65332,71117,136204,16334,18938,34523,23567,30019,53111,0.39150634,0.23727427,166428,153647,29475,44087,40726,52140,29654,43537,39651,40805,43.57951717554118,40.68303355907357,42.1891058614192,320075,0.51996565,0.49848637,0.50313842,0.50668722,0.56097692,0.18473482,0.27376083,0.25111926,0.29038507
